Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/19/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.79285837,20.48067585,21.21213235,20.03672485,15.3334974,13.9770517,12.92816044,12.80483637,12.30498827,13.49083011,14.14704504,14.51334274,14.64242467,13.94965204,15.12085853,24.78573995,23.33684898,19.89093682,
Africa Western and Central,AFW,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.68855406,85.68411475,84.87860559,287.5681527,326.5244973,581.1185947,241.05758,180.8994336,147.8061215,194.7478649,223.2478613,131.0754866,119.0076084,66.80154791,56.66089447,46.53163873,37.15351354,21.43832044,20.70807101,20.84441963,31.94074681,35.39116131,33.96878333,30.74467961,35.31417081,35.96019823,56.78015518,114.8450947,84.94048327,84.28436258,96.59472679,148.1598993,108.1380961,62.71151531,74.56286428,79.57263915
Albania,ALB,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.45386392,102.5194343,64.47044113,46.60851252,15.56156469,14.88108153,22.0851757,23.34032594,23.01411284,30.41441178,27.58168645,25.53977834,26.05398977,21.17841353,25.26465992,26.75037396,26.0011017,31.96002289,37.93256389,45.43869142,49.97048144,60.7645738,66.43685651,63.44596773,72.78393118,69.91086887,73.7483027,62.81927872,60.2886652,69.89005148,62.16788084,55.76462693,48.67478239,39.71906818
Andorra,AND,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,19.38784636,18.89097515,20.15761407,13.98769107,10.72996347,14.86708772,18.56327145,20.72400524,15.26500832,30.85825207,35.81556004,46.60135483,55.25604284,47.01468058,44.25415721,61.32357883,52.12062605,56.59786538,48.62440768,93.34241862,46.2282372,35.719193,30.55643811,27.67193185,29.59450447,38.98484176,41.68252947,44.7428492,48.53654132,55.02941276,54.24170994,58.49329352,159.8901835,133.4749556,114.783966,74.24694157,52.8779757,43.15019175,36.79677862,41.42416233,30.94913019,27.74417801,26.23968789,27.80974522,29.83190239,30.35971303,33.31256112,36.02101404,54.89607122,65.24994527,68.09834014,51.61768775,40.08219425,39.95289495,39.05834524
Armenia,ARM,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.16004959,16.34674957,24.58200067,31.70764357,36.76436087,41.18949486,53.80842885,51.68229391,64.63698147,69.93715584,68.83361041,56.58880456,38.57503364,31.98818859,31.76033796,29.24306826,54.79197775,64.89815496,70.56429087,69.1932585,73.54356149,70.52297324,80.41546395,91.33022175,85.71426993,84.7329121,86.07489261,105.0066427,104.1518868,83.88494195,67.58880318,65.98709507
American Samoa,ASM,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
