area_code,area_name,measure,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
E0600001,County Durham,unemployment_rate,11.043,11.329,9.868,10.047,9.916,10.773,10.057,10.789,9.652,9.895,10.262,9.167
E0600001,County Durham,economic_inactivity_rate,28.350,27.207,27.130,28.177,27.373,27.552,28.041,27.306,27.024,26.542,26.436,27.494
E0600001,County Durham,employment_rate,59.550,62.240,62.251,61.522,63.451,61.241,61.291,61.778,62.879,62.205,63.645,62.627
E0600001,County Durham,claimant_count_rate,8.845,10.147,8.777,9.069,8.429,9.274,8.959,9.490,9.285,8.933,9.057,8.573
E0600001,County Durham,qualification_level4_pct,23.543,25.436,22.991,25.759,21.473,26.777,25.614,26.819,26.771,28.771,29.491,29.508
E0600001,County Durham,working_age_share_pct,63.515,62.974,63.227,63.840,0.628,0.630,0.627,62.836,63.271,62.577,62.353,63.082
E0600002,Darlington,unemployment_rate,6.562,5.859,4.522,4.131,4.640,4.039,3.979,3.808,3.235,2.903,4.867,5.427
E0600002,Darlington,economic_inactivity_rate,19.134,18.489,19.203,18.247,19.545,18.806,17.071,19.468,19.088,16.375,18.739,19.815
E0600002,Darlington,employment_rate,75.077,76.234,75.655,78.153,75.136,76.774,79.042,77.889,78.268,80.311,77.377,74.852
E0600002,Darlington,claimant_count_rate,4.189,3.845,2.597,2.632,2.731,1.948,1.800,1.784,1.252,1.383,2.814,3.147
E0600002,Darlington,qualification_level4_pct,30.503,28.112,29.079,30.836,30.938,29.861,32.027,32.166,32.947,35.468,33.617,36.247
E0600002,Darlington,working_age_share_pct,64.127,64.768,64.013,64.850,0.655,0.645,0.641,63.949,64.189,64.027,64.283,64.132
E0600003,Gateshead,unemployment_rate,7.262,8.863,6.984,8.866,7.754,7.649,7.334,7.117,7.435,6.229,8.907,6.499
E0600003,Gateshead,economic_inactivity_rate,21.640,21.780,23.413,19.884,21.923,21.686,21.198,20.702,21.381,19.989,20.691,20.658
E0600003,Gateshead,employment_rate,71.525,69.653,68.095,70.819,71.547,71.311,71.754,71.791,70.784,73.765,69.526,72.556
E0600003,Gateshead,claimant_count_rate,5.318,6.549,5.547,6.969,6.121,5.975,5.489,5.757,5.161,4.820,7.000,5.030
E0600003,Gateshead,qualification_level4_pct,26.114,26.405,27.704,28.470,28.805,28.760,31.331,31.869,30.399,31.512,34.076,32.353
E0600003,Gateshead,working_age_share_pct,62.865,63.087,62.937,62.653,0.626,0.625,0.622,62.334,62.219,62.129,62.461,62.703
E0600005,Middlesbrough,unemployment_rate,6.145,5.580,5.914,3.321,4.313,3.733,4.610,5.126,4.149,3.746,6.125,4.312
E0600005,Middlesbrough,economic_inactivity_rate,21.025,21.112,21.888,21.569,20.661,21.893,19.308,22.311,19.176,19.945,20.832,20.415
E0600005,Middlesbrough,employment_rate,72.676,74.058,71.827,74.824,75.041,75.443,75.876,72.539,76.307,77.219,72.777,74.506
E0600005,Middlesbrough,claimant_count_rate,3.920,3.184,3.552,1.706,2.748,2.320,1.962,2.813,2.249,1.318,4.221,3.505
E0600005,Middlesbrough,qualification_level4_pct,22.881,23.484,24.965,25.624,26.573,23.785,26.159,27.871,30.539,29.662,28.927,31.210
E0600005,Middlesbrough,working_age_share_pct,63.373,63.364,63.053,63.155,0.626,0.626,0.632,62.573,62.876,62.837,64.093,63.059
E0600006,Newcastle upon Tyne,unemployment_rate,7.753,7.059,7.379,6.505,7.140,6.306,7.415,7.594,7.003,6.906,7.762,6.058
E0600006,Newcastle upon Tyne,economic_inactivity_rate,20.923,20.302,22.770,22.512,21.917,21.541,22.318,21.117,19.637,21.294,21.197,20.252
E0600006,Newcastle upon Tyne,employment_rate,70.932,73.325,71.782,70.323,72.283,72.068,70.643,70.713,73.373,72.299,70.056,74.149
E0600006,Newcastle upon Tyne,claimant_count_rate,5.787,5.138,5.896,5.046,5.539,4.895,5.250,5.527,5.497,5.678,5.825,4.764
E0600006,Newcastle upon Tyne,qualification_level4_pct,27.455,27.657,27.147,29.839,29.137,31.070,29.919,31.868,31.799,32.048,32.576,32.434
E0600006,Newcastle upon Tyne,working_age_share_pct,..,63.928,63.214,63.727,0.636,0.634,0.626,63.156,63.174,63.269,62.964,63.923
E0600007,North Tyneside,unemployment_rate,7.844,6.442,7.379,6.339,7.209,6.987,6.366,7.740,6.270,6.677,8.652,5.422
E0600007,North Tyneside,economic_inactivity_rate,25.597,26.505,25.201,25.556,25.034,24.794,26.001,23.322,25.373,24.789,24.762,25.441
E0600007,North Tyneside,employment_rate,66.455,66.707,67.129,67.059,68.184,68.981,67.232,68.743,68.843,68.302,66.168,68.524
E0600007,North Tyneside,claimant_count_rate,6.764,5.012,6.161,5.017,6.436,5.597,5.188,6.245,5.066,5.419,7.523,4.527
E0600007,North Tyneside,qualification_level4_pct,18.005,19.366,18.802,21.960,22.608,20.781,23.088,22.211,23.153,25.374,25.151,23.686
E0600007,North Tyneside,working_age_share_pct,64.244,64.034,63.854,64.063,0.641,0.639,0.639,64.456,63.964,64.091,63.155,63.089
E0600009,Blackburn with Darwen,unemployment_rate,5.524,6.169,4.822,6.221,6.042,5.869,5.620,4.586,5.260,5.459,5.986,5.538
E0600009,Blackburn with Darwen,economic_inactivity_rate,21.464,20.055,18.610,20.167,19.493,18.956,19.415,19.968,20.591,18.647,19.943,20.143
E0600009,Blackburn with Darwen,employment_rate,72.644,73.571,76.582,74.403,75.293,74.926,75.112,75.830,73.896,75.855,73.718,74.169
E0600009,Blackburn with Darwen,claimant_count_rate,3.936,4.125,3.278,4.537,4.132,4.031,4.043,3.470,4.074,3.559,3.648,3.606
E0600009,Blackburn with Darwen,qualification_level4_pct,27.901,28.699,29.726,28.901,30.476,31.385,31.794,33.105,32.102,31.508,34.110,32.349
E0600009,Blackburn with Darwen,working_age_share_pct,64.592,64.171,64.004,63.325,0.636,0.635,0.636,63.098,63.569,63.246,63.800,64.034
E0600010,Blackpool,unemployment_rate,7.784,6.822,6.469,5.883,7.025,7.451,5.367,6.307,5.276,5.308,6.550,5.441
E0600010,Blackpool,economic_inactivity_rate,22.611,23.451,23.933,22.247,22.496,22.588,21.145,22.052,20.555,21.695,20.664,22.457
E0600010,Blackpool,employment_rate,70.105,69.066,70.755,72.006,70.500,70.286,74.486,71.143,75.150,73.137,73.771,70.554
E0600010,Blackpool,claimant_count_rate,5.604,4.663,4.724,3.574,4.399,5.573,3.097,3.925,3.864,4.065,4.119,3.994
E0600010,Blackpool,qualification_level4_pct,20.805,22.026,24.736,22.769,23.510,25.203,26.357,26.533,28.437,28.190,27.809,27.784
E0600010,Blackpool,working_age_share_pct,63.642,63.438,63.390,63.547,0.633,0.633,0.632,62.892,62.903,62.981,62.803,62.724
E0600011,Bolton,unemployment_rate,9.012,8.440,8.538,8.329,7.556,8.474,7.962,8.288,7.381,7.463,8.883,7.794
E0600011,Bolton,economic_inactivity_rate,25.517,25.209,20.392,24.333,24.855,25.270,25.140,22.542,23.367,23.092,22.427,23.116
E0600011,Bolton,employment_rate,65.322,66.180,70.600,66.643,67.062,66.142,68.278,68.401,69.730,70.536,69.562,68.464
E0600011,Bolton,claimant_count_rate,6.562,6.642,7.177,7.186,6.289,6.943,6.644,7.041,6.117,5.852,6.970,6.210
E0600011,Bolton,qualification_level4_pct,23.302,23.094,26.223,27.708,28.089,29.886,26.476,28.051,30.950,28.974,32.787,30.014
E0600011,Bolton,working_age_share_pct,63.651,62.830,62.966,63.265,0.632,0.629,0.626,63.302,62.181,62.821,62.313,62.610
E0600012,Cheshire East,unemployment_rate,8.307,8.481,7.280,9.517,8.544,7.762,6.829,..,7.043,7.245,8.717,7.512
E0600012,Cheshire East,economic_inactivity_rate,25.660,23.658,23.564,22.734,24.385,21.229,22.924,23.850,24.247,23.060,24.992,23.597
E0600012,Cheshire East,employment_rate,66.075,68.003,68.277,68.663,66.877,70.480,71.151,68.302,69.269,69.810,67.058,68.937
E0600012,Cheshire East,claimant_count_rate,7.172,6.442,5.517,7.314,7.019,6.325,5.485,5.794,5.567,5.989,7.449,6.236
E0600012,Cheshire East,qualification_level4_pct,25.582,26.266,28.862,27.725,27.695,29.563,27.475,29.789,29.883,29.348,32.720,33.628
E0600012,Cheshire East,working_age_share_pct,63.642,63.686,63.560,64.324,0.636,0.636,0.629,63.362,63.755,63.285,62.990,63.714
E0600013,Liverpool,unemployment_rate,5.320,7.208,6.599,6.763,6.762,5.219,6.351,6.791,6.589,5.903,6.205,5.855
E0600013,Liverpool,economic_inactivity_rate,19.369,18.700,19.199,18.919,20.338,20.101,19.578,17.645,19.077,19.871,17.814,19.885
E0600013,Liverpool,employment_rate,75.595,74.187,75.010,73.979,74.222,75.702,74.168,74.536,75.308,73.828,76.305,74.757
E0600013,Liverpool,claimant_count_rate,3.295,5.116,4.143,4.415,5.080,2.931,4.218,4.133,4.291,3.370,3.662,3.964
E0600013,Liverpool,qualification_level4_pct,..,26.245,29.350,28.205,29.429,28.477,30.643,33.050,33.414,33.140,32.450,34.154
E0600013,Liverpool,working_age_share_pct,62.975,62.321,62.033,62.343,0.624,0.626,0.618,62.862,62.549,62.110,62.219,62.403
E0600014,Manchester,unemployment_rate,5.182,6.552,7.202,5.696,2.919,5.660,4.540,3.898,2.999,4.182,6.512,3.965
E0600014,Manchester,economic_inactivity_rate,23.170,20.287,21.077,20.087,23.233,20.036,22.129,19.872,21.481,22.054,21.744,21.833
E0600014,Manchester,employment_rate,71.707,72.466,71.890,74.863,74.421,73.722,74.296,75.881,75.837,73.339,72.174,73.713
E0600014,Manchester,claimant_count_rate,3.563,4.669,4.473,3.230,1.357,3.520,3.646,3.063,1.814,2.435,4.265,2.588
E0600014,Manchester,qualification_level4_pct,21.677,21.508,20.668,24.207,24.641,24.035,25.063,25.717,26.951,27.274,29.021,31.064
E0600014,Manchester,working_age_share_pct,64.229,63.272,63.750,63.603,0.634,0.637,0.634,63.880,64.392,63.843,63.175,62.858
E0600016,Stockport,unemployment_rate,8.751,7.329,6.873,7.279,9.166,7.687,6.909,7.389,5.725,6.466,8.536,5.979
E0600016,Stockport,economic_inactivity_rate,25.024,23.721,25.683,22.101,24.660,24.582,21.755,24.695,23.519,24.358,21.803,23.175
E0600016,Stockport,employment_rate,66.698,67.643,67.876,71.415,66.534,68.641,71.743,68.137,70.367,69.948,69.694,70.966
E0600016,Stockport,claimant_count_rate,6.276,5.454,5.138,4.930,6.609,5.680,5.659,5.654,4.184,4.523,6.586,4.012
E0600016,Stockport,qualification_level4_pct,16.919,18.114,19.172,17.432,19.845,20.628,21.295,21.200,23.291,26.976,22.835,26.510
E0600016,Stockport,working_age_share_pct,62.179,61.782,62.790,62.221,0.617,0.618,0.616,62.132,62.095,61.842,62.253,61.284
E0600018,Bradford,unemployment_rate,7.098,7.553,6.665,7.943,7.255,6.550,6.120,6.745,5.655,5.488,7.191,6.023
E0600018,Bradford,economic_inactivity_rate,19.788,19.771,20.412,17.403,19.240,18.802,17.791,18.278,17.888,18.706,19.572,19.758
E0600018,Bradford,employment_rate,72.493,72.604,71.959,75.661,73.122,74.442,76.180,74.723,77.125,76.559,73.139,74.642
E0600018,Bradford,claimant_count_rate,4.879,4.607,4.539,5.478,5.289,4.428,3.847,4.613,3.604,3.428,5.242,4.160
E0600018,Bradford,qualification_level4_pct,28.488,28.259,28.218,28.439,29.942,33.063,32.312,35.081,32.584,34.369,35.999,34.005
E0600018,Bradford,working_age_share_pct,62.221,62.748,62.343,62.354,0.622,0.618,0.623,62.309,62.488,61.351,61.971,61.515
E0600019,Calderdale,unemployment_rate,9.294,7.697,8.248,7.520,8.062,7.667,7.651,8.678,7.077,8.184,10.397,6.078
E0600019,Calderdale,economic_inactivity_rate,23.150,21.475,22.417,21.505,22.200,21.497,23.663,20.592,22.662,23.444,22.826,22.334
E0600019,Calderdale,employment_rate,66.386,70.123,69.608,71.396,70.729,71.746,68.320,70.383,69.643,69.304,66.677,71.311
E0600019,Calderdale,claimant_count_rate,6.618,5.954,6.184,5.430,5.613,5.377,5.754,6.421,4.859,5.701,7.717,4.588
E0600019,Calderdale,qualification_level4_pct,23.586,23.365,25.912,23.386,27.506,27.203,24.935,25.650,29.943,27.466,27.797,33.343
E0600019,Calderdale,working_age_share_pct,63.341,62.172,62.254,62.663,0.621,0.623,0.623,62.418,61.722,62.223,62.135,62.516
E0600020,Kingston upon Hull,unemployment_rate,7.676,7.188,7.279,6.531,6.515,6.244,5.152,6.768,4.671,6.341,7.508,4.913
E0600020,Kingston upon Hull,economic_inactivity_rate,24.010,20.721,22.467,22.048,20.623,22.540,23.556,20.764,22.682,20.722,22.026,21.082
